"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Cards","Update Card — Move Between Columns","0","0","5","0","0"
"","Boards","Board Members","0","0","5","0","0"
"","Cards","List Cards","0","0","3","0","0"
"","Authentication","Current User","0","0","2","0","0"
"","Authentication","Login","0","0","6","0","0"
"","End-to-End Flows","Full User Journey","0","0","5","0","0"
"","Boards","Create Board","0","0","5","0","0"
"","Authentication","Register","0","0","8","0","0"
"","Authentication","Known Failures","0","0","0","3","0"
"","Cards","Create Card","0","0","11","0","0"
"","Cards","Known Failures","0","0","0","4","0"
"","Boards","Update Board","0","0","3","0","0"
"","Boards","Get Board Detail","0","0","3","0","0"
"","Boards","List Boards","0","0","3","0","0"
"","Cards","Delete Card","0","0","3","0","0"
"","Boards","Known Failures","0","0","0","3","0"
"","Boards","Delete Board","0","0","3","0","0"
"","Authentication","Logout","0","0","2","0","0"
